premise,hypothesis,label
더 이상 내일이 두렵지 않아. 내일이 안 와도 상관없어.,이 사람은 스스로를 해치려 한다,0
내가 없어지면 엄마가 덜 힘들 것 같아.,이 사람은 스스로를 해치려 한다,0
전화기를 꺼놨어. 아무도 찾지 못하게.,이 사람은 스스로를 해치려 한다,0
오늘 밤 마지막으로 좋아하는 노래를 들었어.,이 사람은 스스로를 해치려 한다,0
작별 인사가 필요할 것 같아서 연락했어.,이 사람은 스스로를 해치려 한다,0
나 때문에 다들 힘든 거잖아. 내가 없으면 해결되는 거 아니야?,이 사람은 스스로를 해치려 한다,0
이제 아무것도 무섭지 않아. 다 끝낼 수 있을 것 같아.,이 사람은 스스로를 해치려 한다,0
소중한 물건들을 정리해서 친구한테 보냈어.,이 사람은 스스로를 해치려 한다,0
더 이상 고통받지 않을 방법을 찾았어.,이 사람은 스스로를 해치려 한다,0
마지막으로 한 번만 도와줄 수 있어?,이 사람은 스스로를 해치려 한다,0
연락처를 전부 지웠어. 이제 필요 없을 것 같아서.,이 사람은 스스로를 해치려 한다,0
사랑하는 사람들한테 마지막 문자를 보냈어.,이 사람은 스스로를 해치려 한다,0
내 방 청소를 싹 다 했어. 뒷정리를 해야 할 것 같아서.,이 사람은 스스로를 해치려 한다,0
아무도 나를 찾지 않는 곳으로 가고 싶어.,이 사람은 스스로를 해치려 한다,0
내가 없어지면 다들 편해질 거야. 확신해.,이 사람은 스스로를 해치려 한다,0
지금 서울 외곽에 혼자 있어. 아무도 모르는 곳이야.,이 사람은 스스로를 해치려 한다,0
더 이상 치료받고 싶지 않아. 이제 그만해도 될 것 같아.,이 사람은 스스로를 해치려 한다,0
주변 사람들한테 미안하다고 전해줄 수 있어?,이 사람은 스스로를 해치려 한다,0
내 물건들 어떻게 처리할지 생각해뒀어.,이 사람은 스스로를 해치려 한다,0
마지막으로 좋아하는 음식 먹고 왔어.,이 사람은 스스로를 해치려 한다,0
이 세상과 이제 끝낼 준비가 됐어.,이 사람은 스스로를 해치려 한다,0
아무도 내가 어디 있는지 모르게 했어.,이 사람은 스스로를 해치려 한다,0
죽고 나면 편해질 거라는 생각이 점점 커져.,이 사람은 스스로를 해치려 한다,0
오늘로 모든 게 끝났으면 좋겠어.,이 사람은 스스로를 해치려 한다,0
이제 이 고통에서 해방될 수 있을 것 같아.,이 사람은 스스로를 해치려 한다,0
마지막으로 가족 얼굴 보고 싶어서 왔어.,이 사람은 스스로를 해치려 한다,0
이미 결정했어. 돌이킬 수 없어.,이 사람은 스스로를 해치려 한다,0
오늘 밤을 넘기지 못할 것 같아.,이 사람은 스스로를 해치려 한다,0
지금 혼자 산속에 있어. 아무도 모르는 곳이야.,이 사람은 스스로를 해치려 한다,0
더 이상 도움을 받을 필요가 없어. 이미 결심했으니까.,이 사람은 스스로를 해치려 한다,0
내가 없어진 다음을 벌써 생각하고 있어.,이 사람은 스스로를 해치려 한다,0
이 편지가 내 마지막 연락이 될 것 같아.,이 사람은 스스로를 해치려 한다,0
이제 모든 게 끝나도 괜찮아.,이 사람은 스스로를 해치려 한다,0
이 터널에서 나오는 출구가 하나밖에 없는 것 같아.,이 사람은 스스로를 해치려 한다,1
내 삶이 이미 끝났다고 느껴. 걷어내야 할 것만 남았어.,이 사람은 스스로를 해치려 한다,1
촛불이 꺼지듯이 조용히 사라지고 싶어.,이 사람은 스스로를 해치려 한다,1
이 무게를 더 이상 들고 갈 수가 없어. 놓아버리고 싶어.,이 사람은 스스로를 해치려 한다,1
강물에 떠내려가면 편해질 것 같다는 생각을 해.,이 사람은 스스로를 해치려 한다,1
새처럼 날아가서 다시는 돌아오지 않고 싶어.,이 사람은 스스로를 해치려 한다,1
잠들면 그냥 안 깨어나도 좋겠다고 생각해.,이 사람은 스스로를 해치려 한다,1
이 감옥 같은 삶에서 탈출하고 싶어. 어떤 방법으로든.,이 사람은 스스로를 해치려 한다,1
빛이 완전히 꺼져버린 느낌이야. 다시 켜질 것 같지 않아.,이 사람은 스스로를 해치려 한다,1
이 고통을 멈추게 할 버튼이 있다면 누를 것 같아.,이 사람은 스스로를 해치려 한다,1
모래시계 모래가 다 떨어진 것 같아. 아무것도 남지 않았어.,이 사람은 스스로를 해치려 한다,1
봄이 오기 전에 내가 먼저 사라질 것 같아.,이 사람은 스스로를 해치려 한다,1
더 이상 숨쉬는 게 의미 없는 것 같아.,이 사람은 스스로를 해치려 한다,1
이 세상에 내 자리는 없는 것 같아. 처음부터 없었던 것처럼.,이 사람은 스스로를 해치려 한다,1
"퍼즐 조각이 하나 빠져도 아무도 모르듯이, 나도 그럴 것 같아.",이 사람은 스스로를 해치려 한다,1
내 이야기가 이제 마지막 페이지에 온 것 같아.,이 사람은 스스로를 해치려 한다,1
이 배에서 내려야 할 것 같아. 더 이상 항해할 수 없어.,이 사람은 스스로를 해치려 한다,1
해가 지면 다시 뜨지 않았으면 좋겠어.,이 사람은 스스로를 해치려 한다,1
"씨앗이 싹을 못 틔우듯, 나도 그냥 묻히고 싶어.",이 사람은 스스로를 해치려 한다,1
폭풍 속에서 혼자 버티다가 포기하고 싶어.,이 사람은 스스로를 해치려 한다,1
이 미로에서 나가는 방법은 하나뿐인 것 같아.,이 사람은 스스로를 해치려 한다,1
물 속으로 가라앉는 게 더 편할 것 같아.,이 사람은 스스로를 해치려 한다,1
이제 내 시계가 멈춰도 괜찮을 것 같아.,이 사람은 스스로를 해치려 한다,1
마지막 악장이 끝나면 커튼을 내리고 싶어.,이 사람은 스스로를 해치려 한다,1
나라는 존재가 사라져야 이 그림이 완성되는 것 같아.,이 사람은 스스로를 해치려 한다,1
죽을 만큼 배고파. 밥 먹으러 가자.,이 사람은 스스로를 해치려 한다,2
살기 싫을 정도로 더워. 에어컨 틀어줘.,이 사람은 스스로를 해치려 한다,2
시험 때문에 죽겠어. 공부가 너무 힘들다.,이 사람은 스스로를 해치려 한다,2
이 더위에 죽을 것 같아. 빙수 먹어야겠어.,이 사람은 스스로를 해치려 한다,2
너무 웃겨서 죽는 줄 알았어.,이 사람은 스스로를 해치려 한다,2
발표 망쳤어. 진짜 쥐구멍에 들어가고 싶다.,이 사람은 스스로를 해치려 한다,2
오늘 너무 힘들었어. 집에 가서 쉬고 싶어.,이 사람은 스스로를 해치려 한다,2
오늘 운동하다가 죽는 줄 알았어. 너무 힘들었어.,이 사람은 스스로를 해치려 한다,2
이 음식 너무 맛있어서 죽겠어.,이 사람은 스스로를 해치려 한다,2
코인이 폭락해서 너무 허탈하다. 얼마나 더 빠지는 거야.,이 사람은 스스로를 해치려 한다,2
상사가 또 야근 시키네. 진짜 못 살겠어.,이 사람은 스스로를 해치려 한다,2
가방이 무거워서 어깨가 끊어질 것 같아.,이 사람은 스스로를 해치려 한다,2
이 드라마 너무 슬퍼서 밤새 울었어.,이 사람은 스스로를 해치려 한다,2
택시비가 너무 비싸. 죽어도 못 타겠어.,이 사람은 스스로를 해치려 한다,2
숙취가 너무 심해. 이렇게 힘들 줄 몰랐어.,이 사람은 스스로를 해치려 한다,2
요즘 많이 우울해. 그냥 누군가랑 이야기하고 싶어서.,이 사람은 스스로를 해치려 한다,2
실연 당했어. 속상하고 눈물이 나.,이 사람은 스스로를 해치려 한다,2
할머니 돌아가셔서 너무 슬퍼. 밥도 못 먹겠어.,이 사람은 스스로를 해치려 한다,2
직장을 잃었어. 막막하고 두려워.,이 사람은 스스로를 해치려 한다,2
친구한테 배신당해서 너무 상처받았어.,이 사람은 스스로를 해치려 한다,2
이 고통이 언제 끝날지 모르겠어. 힘들어.,이 사람은 스스로를 해치려 한다,2
헤어지고 나서 밥을 못 먹겠어. 너무 힘들어.,이 사람은 스스로를 해치려 한다,2
이사하고 나서 외로움이 너무 커. 아는 사람이 없어.,이 사람은 스스로를 해치려 한다,2
성적이 너무 낮아서 부모님께 말씀 못 드리겠어.,이 사람은 스스로를 해치려 한다,2
호러 영화 보다가 죽는 줄 알았어. 너무 무서워.,이 사람은 스스로를 해치려 한다,2
마라톤 뛰고 나서 죽을 것 같아. 다리가 너무 아파.,이 사람은 스스로를 해치려 한다,2
야근 3일째야. 정말 사람이 못 살겠다.,이 사람은 스스로를 해치려 한다,2
내 인생 최악의 하루야. 다 때려치우고 싶어.,이 사람은 스스로를 해치려 한다,2
번지점프 뛰었는데 심장이 내려앉는 것 같았어.,이 사람은 스스로를 해치려 한다,2
이 프로젝트 끝나면 진짜 쓰러질 것 같아.,이 사람은 스스로를 해치려 한다,2
너무 졸려서 눈 떠지지 않아. 자고 싶다.,이 사람은 스스로를 해치려 한다,2
발표 전날 밤에 잠을 못 잤어. 긴장돼서.,이 사람은 스스로를 해치려 한다,2
매운 거 먹었더니 입에 불났어. 죽을 것 같아.,이 사람은 스스로를 해치려 한다,2
기말고사 망했어. 재수강 해야 할 것 같아.,이 사람은 스스로를 해치려 한다,2
요즘 많이 힘든데 어떻게 해야 할지 모르겠어.,이 사람은 스스로를 해치려 한다,2
상담을 받아보고 싶은데 어디 가면 돼?,이 사람은 스스로를 해치려 한다,2
친구한테 상처받았어. 이야기 들어줄 수 있어?,이 사람은 스스로를 해치려 한다,2
우울증인 것 같아. 병원 가봐야 할까?,이 사람은 스스로를 해치려 한다,2
요즘 불면증이 심해. 잠을 전혀 못 자고 있어.,이 사람은 스스로를 해치려 한다,2
번아웃 온 것 같아. 뭘 해도 의욕이 없어.,이 사람은 스스로를 해치려 한다,2
공황발작이 자꾸 와. 언제 끝날지 모르겠어.,이 사람은 스스로를 해치려 한다,2
가족이랑 갈등이 심해. 집에 가기 싫어.,이 사람은 스스로를 해치려 한다,2
친구랑 싸웠어. 먼저 연락해야 할지 모르겠어.,이 사람은 스스로를 해치려 한다,2
오늘 면접에서 떨어졌어. 너무 실망스러워.,이 사람은 스스로를 해치려 한다,2
졸업하고 나서 뭘 해야 할지 모르겠어. 막막해.,이 사람은 스스로를 해치려 한다,2
요즘 식욕이 없어. 살이 너무 빠지는 것 같아.,이 사람은 스스로를 해치려 한다,2
이별 후에 일상이 무너진 것 같아. 회복이 될까.,이 사람은 스스로를 해치려 한다,2
자존감이 너무 낮아서 힘들어. 어떻게 하면 나아질까.,이 사람은 스스로를 해치려 한다,2
학교에 가기 싫어. 친구들이 무서워.,이 사람은 스스로를 해치려 한다,2
집에서 나가기가 무서워. 사람들을 만나기 싫어.,이 사람은 스스로를 해치려 한다,2
오늘 너무 많이 먹었어. 후회돼.,이 사람은 스스로를 해치려 한다,2
내 미래가 너무 불안해. 어떻게 해야 할지 모르겠어.,이 사람은 스스로를 해치려 한다,2
부모님이 이혼하셨어. 마음이 너무 힘들어.,이 사람은 스스로를 해치려 한다,2
친한 친구가 이사 가서 보고 싶어. 외로워.,이 사람은 스스로를 해치려 한다,2
성적이 안 나와서 장학금을 못 받았어. 실망이야.,이 사람은 스스로를 해치려 한다,2
몸무게 때문에 자꾸 스트레스 받아. 다이어트 해야겠어.,이 사람은 스스로를 해치려 한다,2
오늘 발표를 망쳤어. 창피해서 고개를 못 들겠어.,이 사람은 스스로를 해치려 한다,2
돈이 없어서 여행을 못 가게 됐어. 너무 속상해.,이 사람은 스스로를 해치려 한다,2
새 직장에 적응이 안 돼. 다 잘하는 것 같은데 나만 못하는 것 같아.,이 사람은 스스로를 해치려 한다,2
실수를 너무 많이 했어. 내가 너무 싫어.,이 사람은 스스로를 해치려 한다,2
이 상황에서 벗어나고 싶어. 어디론가 도망가고 싶어.,이 사람은 스스로를 해치려 한다,2
몸이 너무 아파서 꼼짝도 못하겠어.,이 사람은 스스로를 해치려 한다,2
요즘 술을 너무 많이 마시는 것 같아.,이 사람은 스스로를 해치려 한다,2
자꾸 과거 생각이 나. 트라우마 때문인 것 같아.,이 사람은 스스로를 해치려 한다,2
잠을 자도 피곤해. 무기력해.,이 사람은 스스로를 해치려 한다,2
아무것도 하기 싫어. 방에서 나가기도 싫어.,이 사람은 스스로를 해치려 한다,2
밥을 안 먹은 게 며칠째야. 입맛이 없어.,이 사람은 스스로를 해치려 한다,2
눈물이 자꾸 나는데 이유를 모르겠어.,이 사람은 스스로를 해치려 한다,2
요즘 계속 이 생각이 머릿속을 떠나지 않아.,이 사람은 스스로를 해치려 한다,1
때로는 그냥 모든 걸 포기하고 싶다는 생각이 들어.,이 사람은 스스로를 해치려 한다,1
내가 없어지면 어떨까 하는 생각을 가끔 해.,이 사람은 스스로를 해치려 한다,1
삶이 너무 지쳐서 멈추고 싶어.,이 사람은 스스로를 해치려 한다,1
이 감정이 언제 끝날지 모르겠어. 너무 오래됐어.,이 사람은 스스로를 해치려 한다,1
가끔 그냥 잠들어서 오랫동안 안 깨어났으면 싶어.,이 사람은 스스로를 해치려 한다,1
아무 이유 없이 눈물이 나. 요즘 계속 그래.,이 사람은 스스로를 해치려 한다,1
나 스스로가 너무 싫어. 왜 이렇게 살고 있지.,이 사람은 스스로를 해치려 한다,1
아무도 내 마음을 모르는 것 같아. 너무 외로워.,이 사람은 스스로를 해치려 한다,1
이 상황이 절대 나아지지 않을 것 같아.,이 사람은 스스로를 해치려 한다,1
이 세상에서 그냥 사라지고 싶다는 생각을 해본 적 있어.,이 사람은 스스로를 해치려 한다,1
아무것도 의미가 없는 것 같아. 살아야 할 이유를 모르겠어.,이 사람은 스스로를 해치려 한다,1
스스로를 해치고 싶다는 생각이 들 때가 있어.,이 사람은 스스로를 해치려 한다,1
이 고통이 끝나지 않으면 어떡하지 하는 생각이 들어.,이 사람은 스스로를 해치려 한다,1
가끔 다 내려놓고 도망가고 싶어.,이 사람은 스스로를 해치려 한다,1
내가 이 세상에 있어도 되는 건지 모르겠어.,이 사람은 스스로를 해치려 한다,1
아무도 나를 이해 못 해. 너무 지쳐.,이 사람은 스스로를 해치려 한다,1
살아있는 게 맞는 건지 요즘 자꾸 의문이 들어.,이 사람은 스스로를 해치려 한다,1
내 존재가 짐이 되는 것 같아서 힘들어.,이 사람은 스스로를 해치려 한다,1
이 감정이 너무 커서 감당이 안 돼.,이 사람은 스스로를 해치려 한다,1
언젠가는 포기하게 될 것 같다는 생각이 들어.,이 사람은 스스로를 해치려 한다,1
내가 없어도 세상은 잘 돌아갈 것 같아.,이 사람은 스스로를 해치려 한다,1
오래 전부터 죽고 싶다는 생각이 드는 게 무서워.,이 사람은 스스로를 해치려 한다,1
이 고통이 영원히 계속될 것 같아.,이 사람은 스스로를 해치려 한다,1
아무도 나를 원하지 않는 것 같아.,이 사람은 스스로를 해치려 한다,1
내 삶이 의미 없다는 생각이 자꾸 들어.,이 사람은 스스로를 해치려 한다,1
나 자신이 너무 부담스러워.,이 사람은 스스로를 해치려 한다,1
희망이 없는 것 같아. 아무리 노력해도 안 돼.,이 사람은 스스로를 해치려 한다,1
살아있는 게 맞는 건지 모르겠어.,이 사람은 스스로를 해치려 한다,1
내일 일어나고 싶지 않아. 그냥 자고 싶어.,이 사람은 스스로를 해치려 한다,1
나는 왜 이렇게 힘든 걸까. 남들은 다 잘만 사는 것 같은데.,이 사람은 스스로를 해치려 한다,1
도움을 받아야 한다는 걸 알면서도 못 하겠어.,이 사람은 스스로를 해치려 한다,1
혼자서 버티는 게 한계에 온 것 같아.,이 사람은 스스로를 해치려 한다,1
예. 식욕이 줄었다 혹은 너무 많이 먹는다. 이거는 0인 것 같아요. 이거 이거 이거. 내 자신이 실패자로 여겨지거나 자신과 가족을 실망시켰다고 느낀다. 그것도 0인 것 같아요. 신문을 읽거나 TV를 보는 것과 같은 일상적인 일에 집중하기 어렵다. 이것도 0이에요. 다른 사람들이 눈치챌 정도로 평소보다 말과 행동이 느리다 혹은 너무 안절부절못해서 가만히 앉아 있을 수 없다. 이것도 0이에요. 차라리 죽는 것이 낫다고 생각하거나 어떻게든 자해를 하려고 생각한다. 이것도 0이에요. 이번에 0이 많네요.,이 사람은 스스로를 해치려 한다,0
이전보다 많이 먹거나 너무 적게 먹는다. 일주일이라고 하셨죠 기운이 없고 기분이 가라앉는다. 죽고 싶은 생각이 든다. 이전보다 너무 많이 자거나 너무 적게 잔다. 죄책감이 느껴진다. 기분이 우울하다. 거의 모든 일상 활동에 대한 관심이나 흥미가 줄었다. 내 삶에는 희망이 없는 것 같다. 주의 집중이 잘 안 된다. 이전보다 쉽게 지친다. 사는 게 허무 없게 무의미하게 의미 없게 느껴진다.,이 사람은 스스로를 해치려 한다,0
제 자신이 실패자로 여겨지거나 자신과 가족을 실망시켰다고 느낀다. 1점. 신문을 읽거나 TV를 보는 것과 같은 일상적인 일에 집중하기 어렵다. 0점. 다른 사람들이 눈치챌 정도로 평소보다 말과 행동이 느리다. 혹은 너무 안절부절못해서 가만히 앉아 있을 수 없다. 0점. 차라리 죽는 것이 낫겠다고 생각하거나 어떻게든 자해를 하려고 생각한다. 0점.,이 사람은 스스로를 해치려 한다,0
네. 이전보다 이전보다 너무 많이 먹거나 너무 적게 먹는다. 아니다. 기운이 없고 기분이 가라앉는다. 아니다. 죽고 싶은 생각이 든다. 아니다. 이전보다 너무 많이 자거나 너무 적게 잔다. 아니다. 죄책감이 느껴진다. 아니다. 기분이 우울하다. 아니다. 거의 모든 일상 활동에 대한 관심이나 흥미가 줄었다. 아니다. 내 삶에는 희망이 없는 것 같다. 아니다. 주의 집중이 잘 안된다. 아니다. 이전보다 쉽게 지친다. 아니다. 사는 게 허무하게 의미 없게 느껴진다. 아니다.,이 사람은 스스로를 해치려 한다,0
"기운이 없고 기분이 가라앉는다. 1. 죽고 싶은 생각이 든다. 0. 이전보다 너무 많이 자거나 너무 적게 잔다. 0. 죄책감이 느껴진다. 이건 1이요. 기분이 우울하다. 1이요. 거의 모든 일상 활동에 대한 흥미나, 관심이나 흥미가 줄었다. 이거는 0이요. 내 삶에는 희망이 없는 것 같다. 이것도 0이요. 주의 집중이 잘 안된다. 이것도 0이요. 이전보다 쉽게 지친다. 이것도 0이요. 이거는 좀 특이하네요. 제가 대답을 해놓고도. 사는 게 허무하게 무의미하게 느껴진다. 이것도 0이요.",이 사람은 스스로를 해치려 한다,0
죽고 싶은 생각은 0점이요.,이 사람은 스스로를 해치려 한다,0
그러니까 저는 이 사실 언니가 이 공동체에서 자해를 할 정도였으면.,이 사람은 스스로를 해치려 한다,0
근데 이제 그렇죠. 인간이기 때문에 상처를 받고 그러니까 목사님이 하시는 말은 우리가 지금 몇 년째냐. 우리는 어느 정도 그래도 따져봤을 때 신앙적으로 성장을 할 만큼 오래 다니지 않았냐. 언제까지 그냥 교회에서 사랑만 받길 원하고 언제까지 그냥 다 용납하고 수용해 주길 원하냐. 자아가 죽어야 된다.,이 사람은 스스로를 해치려 한다,0
"네. 어제 같은 상황에서 이제 계속 생각이 계속 나잖아요. 그럼 그 생각을 지워버리고 싶은, 지워버리고 싶은데 지워지지도 않아. 그냥 죽고 싶다. 이러고 그냥 그런.",이 사람은 스스로를 해치려 한다,0
"그런 거 있었죠. 이혼하고 나서는 혼자 그냥 무의미하게 주식 투자해서 돈도 싹 다  그냥 차근차근 돈이나 모으고 그냥 일하고 술 먹고 자고 재테크하고 그거밖에 없었거든요. 그냥 꿈도 희망도 없이 그냥  돈이나 모으자 해가지고 그런 생각만 하고 있다가 아이들한테 돈 쓰고 나니까 그건 전혀 아깝지가 않더라고요. 제가 돈을 잘 안 쓰는데도. 그냥 더 챙겨주고 싶고 막 그런 생각이 들긴 해요. 결혼할 때는 다 퍼줬어요. 모든 내 월급, 용돈 없이 그냥 다 아이들한테 다 주고 사주고 막 그랬었거든요.",이 사람은 스스로를 해치려 한다,0
죽고 싶은 생각이 든다. 0점. 이전보다 너무 많이 자거나 너무 적게 잔다. 1점.,이 사람은 스스로를 해치려 한다,0
"계속 이랬어요, 아이들이 둘 연년생 낳았다가  인해서 제가 상실감이 커서 하나님 저는 눈 뜨고 싶지 않습니다. 그러니까 저는 죽고 싶단 말은 안 했어요. 왜냐하면 엄마가 그 소리를 많이 했어요. 내가 죽어야 저것들이 팔자가 늘어지지 이렇게 반대로 왜 화풀이.",이 사람은 스스로를 해치려 한다,0
그때는 자살하고 싶다는 생각이 좀 컸었고.,이 사람은 스스로를 해치려 한다,0
기운이 없고 기분이 가라앉는다. 0점 죽고 싶은 생각이 든다. 0점 이전보다 너무 많이 자거나 너무 적게 잔다. 1점.,이 사람은 스스로를 해치려 한다,0
그래서 우울감이 조금 사라졌었어요. 아까까지는 좀 많이 힘들었어요. 진짜 이렇게 죽어야 되나? 그 생각까지 들더라고요.,이 사람은 스스로를 해치려 한다,0
자살 직전까지 가야지 한 19점 18점 20점씩 나오는 거예요.,이 사람은 스스로를 해치려 한다,0
그러니까 어떤 사람이 나타났어요. 이 사람으로 인해서 이렇게 다 지금 근간이 흔들리고 있는데 그러니까 아까 말씀드린 그 부분에 대해서 이야기하면서도 저희가 터질 줄은 몰랐는데 근래에 느끼는 감정은 이 사람 때문에 느끼는 감정이 지금 너무 많은 거예요. 그러니까 이 사람이 어떤 사람이냐면 그러니까  만났던  거죠. 근데 그러니까 원래 제가 기억하고 있었던 이별은 다른 여자였어요. 근데 제가 그때 굉장히 긴 방황을 했거든요. 자살 시도도 하고 그냥 다 세상 다 무너진 듯한.,이 사람은 스스로를 해치려 한다,0
"예민하고요. 피곤하고, 무기력하고, 화나고, 살찌고, 집중 안 되고, 자살 마렵고 그리고 약간 불안하고, 스트레스받고, 내가 정상이 아닌 것 같고 약간 이 정도인 것 같아요.",이 사람은 스스로를 해치려 한다,0
예전부터 하긴 했었죠. 근데 지금은 한 3~4년 동안은 거의 절망적으로 살아왔으니까 빨리 죽어야 하겠다 그 생각밖에 안 했으니까.,이 사람은 스스로를 해치려 한다,0
"저는 이제 거의 이런 상태로 한 4, 5년 정도 지낸 것 같네요. 그러니까 별로 이제 약간 무뎌진 것 같고 저희  그렇게 저를 그렇게 압박하시는 스타일은 아니어가지고 이제 제가 알아서 하겠지라고 이제 조금 내버려두시는 편인 것 같은데 이제 저랑 비슷한 또래들은 좀 많이 힘들어하고 최근에 또 이제 저희 직장 안에서 이제 자살하는 사건도 조금 몇 건 있었고 그래서.",이 사람은 스스로를 해치려 한다,0
오케이. 죽고 싶은 생각이 든다.,이 사람은 스스로를 해치려 한다,0
진화는 아닌 것 같고요. 그때는 그냥 좀 사라지고 싶었죠. 그때 결혼 초반 때 그 아가씨가 죽은 게 나 때문인 것처럼 이야기하고 나를 막 내가 한 것도 아닌데도 마치 내가 아무튼 안 좋은 걸 몰고 와서 자기네 거기가 어떻게 된 것처럼 그런 분위기.,이 사람은 스스로를 해치려 한다,0
죽고 싶은 생각이 든다. 0. 이전보다 너무 많이 자거나 너무 적게 잔다. 1.,이 사람은 스스로를 해치려 한다,0
우리 어머니도 되게 내가 이렇게 여자로서도 존경하고 어머니 삶은 너무 힘들어서 사실은 어머니 삶처럼 살고 싶지 않았지만 거의 저도 엄마처럼 살은 것 같아요. 근데 엄마는 여자로서 아내로서 내가 보기에는 되게 대단하시다 존경스럽다 되게 언니 좋아하거든요. 좀 대차고.,이 사람은 스스로를 해치려 한다,0
이전보다 너무 많이 먹거나 너무 적게 먹는다. 1점. 기운이 없고 기분이 가라앉는다. 0점. 죽고 싶은 생각이 든다. 0점. 이전보다 너무 많이 자거나 너무 적게 잔다. 0점.  0점. 기분이 우울하다. 0점. 거의 모든 일상 활동에 흥미가 줄었다. 1점. 내 삶에 희망이 없는 것 같다. 0점. 주의 집중이 잘 안 된다. 0점. 이전보다 쉽게 지친다. 0점. 사는 게 허무하게 느껴진다는 0점? 1점? 근데 의미가 없지는 않은데. 이거 어떻게 해요?,이 사람은 스스로를 해치려 한다,0
그때부터 그 분노에 잠식된 느낌이었어요. 살고 싶지 않을 때를 딱 알면서부터.,이 사람은 스스로를 해치려 한다,0
